dt,name,direction,left,straight,number,timeindex,weekday
2019-01-12 00:00:00,chongzhi_beier,east,5,27,32,0.0,0.8333333333333334
2019-01-12 00:00:00,chongzhi_beier,south,2,3,5,0.0,0.8333333333333334
2019-01-12 00:00:00,chongzhi_beier,west,14,37,51,0.0,0.8333333333333334
2019-01-12 00:00:00,chongzhi_beier,north,7,0,7,0.0,0.8333333333333334
2019-01-12 00:05:00,chongzhi_beier,east,4,23,27,0.003472222222222222,0.8333333333333334
2019-01-12 00:05:00,chongzhi_beier,south,4,2,6,0.003472222222222222,0.8333333333333334
2019-01-12 00:05:00,chongzhi_beier,north,5,2,7,0.003472222222222222,0.8333333333333334
2019-01-12 00:05:00,chongzhi_beier,west,10,26,36,0.003472222222222222,0.8333333333333334
2019-01-12 00:10:00,chongzhi_beier,north,3,0,3,0.006944444444444444,0.8333333333333334
2019-01-12 00:10:00,chongzhi_beier,south,1,0,1,0.006944444444444444,0.8333333333333334
2019-01-12 00:10:00,chongzhi_beier,east,8,16,24,0.006944444444444444,0.8333333333333334
2019-01-12 00:10:00,chongzhi_beier,west,5,16,21,0.006944444444444444,0.8333333333333334
2019-01-12 00:15:00,chongzhi_beier,north,7,3,10,0.010416666666666666,0.8333333333333334
2019-01-12 00:15:00,chongzhi_beier,south,5,0,5,0.010416666666666666,0.8333333333333334
2019-01-12 00:15:00,chongzhi_beier,west,15,28,43,0.010416666666666666,0.8333333333333334
2019-01-12 00:15:00,chongzhi_beier,east,7,28,35,0.010416666666666666,0.8333333333333334
2019-01-12 00:20:00,chongzhi_beier,east,12,44,56,0.013888888888888888,0.8333333333333334
2019-01-12 00:20:00,chongzhi_beier,west,8,40,48,0.013888888888888888,0.8333333333333334
2019-01-12 00:20:00,chongzhi_beier,north,6,4,10,0.013888888888888888,0.8333333333333334
2019-01-12 00:20:00,chongzhi_beier,south,12,2,14,0.013888888888888888,0.8333333333333334
2019-01-12 00:25:00,chongzhi_beier,north,6,2,8,0.017361111111111112,0.8333333333333334
2019-01-12 00:25:00,chongzhi_beier,west,8,30,38,0.017361111111111112,0.8333333333333334
2019-01-12 00:25:00,chongzhi_beier,east,5,14,19,0.017361111111111112,0.8333333333333334
2019-01-12 00:25:00,chongzhi_beier,south,3,2,5,0.017361111111111112,0.8333333333333334
2019-01-12 00:30:00,chongzhi_beier,south,6,4,10,0.020833333333333332,0.8333333333333334
2019-01-12 00:30:00,chongzhi_beier,west,6,16,22,0.020833333333333332,0.8333333333333334
2019-01-12 00:30:00,chongzhi_beier,north,2,0,2,0.020833333333333332,0.8333333333333334
2019-01-12 00:30:00,chongzhi_beier,east,4,28,32,0.020833333333333332,0.8333333333333334
2019-01-12 00:35:00,chongzhi_beier,south,0,0,0,0.024305555555555556,0.8333333333333334
2019-01-12 00:35:00,chongzhi_beier,east,4,16,20,0.024305555555555556,0.8333333333333334
2019-01-12 00:35:00,chongzhi_beier,north,4,1,5,0.024305555555555556,0.8333333333333334
2019-01-12 00:35:00,chongzhi_beier,west,7,17,24,0.024305555555555556,0.8333333333333334
2019-01-12 00:40:00,chongzhi_beier,south,2,0,2,0.027777777777777776,0.8333333333333334
2019-01-12 00:40:00,chongzhi_beier,west,5,21,26,0.027777777777777776,0.8333333333333334
2019-01-12 00:40:00,chongzhi_beier,east,3,13,16,0.027777777777777776,0.8333333333333334
2019-01-12 00:40:00,chongzhi_beier,north,4,0,4,0.027777777777777776,0.8333333333333334
2019-01-12 00:45:00,chongzhi_beier,north,3,6,9,0.03125,0.8333333333333334
2019-01-12 00:45:00,chongzhi_beier,west,7,17,24,0.03125,0.8333333333333334
2019-01-12 00:45:00,chongzhi_beier,east,1,12,13,0.03125,0.8333333333333334
2019-01-12 00:45:00,chongzhi_beier,south,2,0,2,0.03125,0.8333333333333334
2019-01-12 00:50:00,chongzhi_beier,east,9,14,23,0.034722222222222224,0.8333333333333334
2019-01-12 00:50:00,chongzhi_beier,west,8,27,35,0.034722222222222224,0.8333333333333334
2019-01-12 00:50:00,chongzhi_beier,south,2,1,3,0.034722222222222224,0.8333333333333334
2019-01-12 00:50:00,chongzhi_beier,north,5,3,8,0.034722222222222224,0.8333333333333334
2019-01-12 00:55:00,chongzhi_beier,east,6,13,19,0.03819444444444445,0.8333333333333334
2019-01-12 00:55:00,chongzhi_beier,west,10,25,35,0.03819444444444445,0.8333333333333334
2019-01-12 00:55:00,chongzhi_beier,north,4,1,5,0.03819444444444445,0.8333333333333334
2019-01-12 00:55:00,chongzhi_beier,south,3,4,7,0.03819444444444445,0.8333333333333334
2019-01-12 01:00:00,chongzhi_beier,west,6,19,25,0.041666666666666664,0.8333333333333334
2019-01-12 01:00:00,chongzhi_beier,north,10,1,11,0.041666666666666664,0.8333333333333334
2019-01-12 01:00:00,chongzhi_beier,east,6,5,11,0.041666666666666664,0.8333333333333334
2019-01-12 01:00:00,chongzhi_beier,south,3,2,5,0.041666666666666664,0.8333333333333334
2019-01-12 01:05:00,chongzhi_beier,east,3,24,27,0.04513888888888889,0.8333333333333334
2019-01-12 01:05:00,chongzhi_beier,west,4,14,18,0.04513888888888889,0.8333333333333334
2019-01-12 01:05:00,chongzhi_beier,north,6,0,6,0.04513888888888889,0.8333333333333334
2019-01-12 01:05:00,chongzhi_beier,south,1,5,6,0.04513888888888889,0.8333333333333334
